Year,India,Ø EU,Ø USA,Ø World
2022,6.70%,,,
2021,5.13 %,2.55 %,4.70 %,3.50 %
2020,6.62 %,0.50 %,1.23 %,1.92 %
2019,3.73 %,1.63 %,1.81 %,2.19 %
2018,3.94 %,1.74 %,2.44 %,2.44 %
2017,3.33 %,1.43 %,2.13 %,2.19 %
2016,4.95 %,0.18 %,1.26 %,1.55 %
2015,4.91 %,-0.06 %,0.12 %,1.43 %
2014,6.67 %,0.20 %,1.62 %,2.35 %
2013,11.06 %,1.22 %,1.46 %,2.62 %
2012,9.31 %,2.66 %,2.07 %,3.73 %
2011,8.86 %,3.29 %,3.16 %,4.82 %
2010,11.99 %,1.53 %,1.64 %,3.35 %
2009,10.88 %,0.84 %,-0.36 %,2.94 %
2008,8.35 %,4.16 %,3.84 %,8.95 %
2007,6.37 %,2.51 %,2.85 %,4.82 %
2006,5.80 %,2.67 %,3.23 %,4.28 %
2005,4.25 %,2.49 %,3.39 %,4.11 %
2004,3.77 %,2.29 %,2.68 %,3.38 %
2003,3.81 %,2.09 %,2.27 %,3.03 %
2002,4.30 %,2.42 %,1.59 %,2.83 %
2001,3.78 %,3.37 %,2.83 %,3.84 %
2000,4.01 %,3.15 %,3.38 %,3.49 %
1999,4.67 %,2.16 %,2.19 %,3.08 %
1998,13.23 %,2.42 %,1.55 %,5.11 %
1997,7.16 %,3.11 %,2.34 %,5.57 %
1996,8.98 %,3.56 %,2.93 %,6.55 %
1995,10.22 %,4.43 %,2.81 %,9.15 %
1994,10.25 %,4.72 %,2.61 %,10.32 %
1993,6.33 %,4.85 %,2.95 %,7.51 %
1992,11.79 %,6.22 %,3.03 %,7.71 %
1991,13.87 %,5.48 %,4.23 %,9.00 %
1990,8.97 %,6.15 %,5.40 %,8.13 %
1989,7.07 %,6.26 %,4.83 %,7.00 %
1988,9.38 %,4.54 %,4.08 %,7.15 %
1987,8.80 %,4.02 %,3.66 %,5.76 %
1986,8.73 %,3.68 %,1.90 %,5.82 %
1985,5.56 %,5.40 %,3.55 %,6.86 %
1984,8.32 %,7.67 %,4.30 %,8.12 %
1983,11.87 %,8.67 %,3.21 %,8.77 %
1982,7.89 %,9.58 %,6.13 %,10.24 %
1981,13.11 %,11.77 %,10.33 %,12.47 %
1980,11.35 %,12.91 %,13.55 %,13.98 %
1979,6.28 %,8.22 %,11.25 %,n/a
1978,2.52 %,7.76 %,7.63 %,n/a
1977,8.31 %,9.77 %,6.50 %,n/a
1976,-7.63 %,9.35 %,5.74 %,n/a
1975,5.75 %,10.47 %,9.14 %,n/a
1974,28.60 %,13.16 %,11.05 %,n/a
1973,16.94 %,7.75 %,6.18 %,n/a
1972,6.44 %,6.01 %,3.27 %,n/a
1971,3.08 %,5.24 %,4.29 %,n/a
1970,5.09 %,4.51 %,5.84 %,n/a
1969,-0.58 %,2.67 %,5.46 %,n/a
1968,3.24 %,3.24 %,4.27 %,n/a
1967,13.06 %,3.32 %,2.77 %,n/a
1966,10.80 %,3.70 %,3.02 %,n/a
1965,9.47 %,3.99 %,1.59 %,n/a
1964,13.36 %,3.42 %,1.28 %,n/a
1963,2.95 %,2.92 %,1.24 %,n/a
1962,3.63 %,3.55 %,1.20 %,n/a
1961,1.70 %,2.08 %,1.07 %,n/a
1960,1.78 %,1.74 %,1.46 %,n/a
